#,Country_Other,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Total_Tests,Population
1,USA,"98166904","1084282","94962112","2120510","1118158870","334805269"
2,India,"44587307","528629","44019095","39583","894416853","1406631776"
3,France,"35342950","155078","34527115","660757","271490188","65584518"
4,Brazil,"34706757","686027","33838636","182094","63776166","215353593"
5,Germany,"33312373","149948","32315200","847225","122332384","83883596"
6,S. Korea,"24769101","28406","24013461","727234","15804065","51329899"
7,UK,"23621952","189919","23347871","84162","522526476","68497907"
8,Italy,"22432803","177054","21779604","476145","246636495","60262770"
9,Japan,"21229216","44678","20380089","804449","76201407","125584838"
10,Russia,"20948470","387163","19979763","581544","273400000","145805947"
11,Turkey,"16873793","101139","16754301","18353","162743369","85561976"
12,Spain,"13412263","114084","13218892","79287","471036328","46719142"
13,Vietnam,"11477886","43148","10590917","843821","85826548","98953541"
14,Australia,"10209239","14984","10133494","60761","78835048","26068792"
15,Argentina,"9708420","129897","9563348","15175","35716069","46010234"
16,Netherlands,"8422336","22643","8362464","37229","21107399","17211447"
17,Iran,"7548320","144421","7325370","78529","54095556","86022837"
18,Mexico,"7084488","330065","6353953","400470","18393211","131562772"
19,Indonesia,"6429767","158093","6253317","18357","108656989","279134505"
20,Taiwan,"6417941","11003","5603195","803743","25998416","23888595"
21,Colombia,"6307372","141794","6134690","30888","36572720","51512762"
22,Poland,"6289672","117539","5335940","836193","37335609","37739785"
23,Portugal,"5490639","25024","5394788","70827","44988307","10140570"
24,Ukraine,"5177217","109206","4973554","94457","19521252","43192122"
25,Austria,"5118512","20738","5006572","91202","197543761","9066710"
26,Greece,"4920192","33111","4836903","50178","94139966","10316637"
27,Malaysia,"4838872","36369","4777329","25174","64604259","33181072"
28,DPRK,"4772813",74,"4772739",0,,"25990679"
29,Thailand,"4681309","32767","4642083","6459","17270775","70078203"
30,Israel,"4661096","11698","4641394","8004","41373364","9326000"
31,Chile,"4620377","61141","4540886","18350","45128974","19250195"
32,Belgium,"4533249","32659","4451569","49021","35555508","11668278"
33,Canada,"4233468","44992","4131367","57109","64928884","38388419"
34,Peru,"4143085","216539","3914598","11948","35126382","33684208"
35,Czechia,"4100480","41059","4035333","24088","56212735","10736784"
36,Switzerland,"4084307","14183","4012833","57291","22318542","8773637"
37,South Africa,"4018769","102185","3909265","7319","26174429","60756135"
38,Philippines,"3945566","62916","3854478","28172","32796350","112508994"
39,Romania,"3267370","67016","3180124","20230","25094131","19031335"
40,Denmark,"3110831","7065","3093396","10370","128397719","5834950"
41,Sweden,"2588441","20194","2548125","20122","18965590","10218971"
42,Iraq,"2459982","25355","2433704",923,"19239264","42164965"
43,Serbia,"2359530","17000","2298536","43994","11030499","8653016"
44,Hungary,"2094142","47503","2014175","32464","11394556","9606259"
45,Bangladesh,"2024489","29362","1964501","30626","14872260","167885689"
46,Singapore,"1904192","1617","1821160","81415","24345019","5943546"
47,Slovakia,"1843220","20455","1817938","4827","7298163","5460193"
